V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
0.407859563545291,0.311720185356682,0.854106584819287,1,0.188467409875346,0.299046324581523,0.233074672770012,0.28105576328221,0.0215579333824925,0.389039116925616,0.193634263349212,0.449227285819531,0.239673203989141,0.67487409178718,0.214683247866893,0.0776417795967041,0.267828923732898,0.224058406764844,0.428566567965573,0.365762375284858,0.374256049560162,0.582977002105576,0.191947833185694,0.442498221945374,0.57568654009116,0.171181460266255,0.297460014560157,0.272268902226519,0.521571851751143,0.271183405975336,0.233061944815119,0.848671254967902,-30
0.0896982809166341,0.844046849386136,0.509228093221789,0.225299391524598,0.62516002785697,0.273106592425904,1,0.443265741294288,0.329767318985011,0.0215635608118531,0.707566317258434,0,0.380270528314511,0.0130776290028074,0,0.195060536733848,0.77957478299914,0.00778630084505611,0.0393199492136061,0.00502902266209633,0,0.198471200169548,0.633177474907226,0.0294560866080521,0.00772671022936701,1,0.0244313825579248,0.0309174698865386,0.899761384862721,0.0714248910122591,0.0369104513867839,0,0
0.0457495389965573,0.667868022280944,1,0.989418368142707,0.281259893972586,0.596199802571288,0.147858952326774,0.0896920041028707,0.0907938308936318,0.0731732367868472,0.258380010991824,0,0.113031580337003,1,0.0425892740182949,0.387247861984723,0,0.0152749865160153,0.37783500159054,0.0459704810442834,0,0.740073067913862,0.254657376098711,0.586637064961802,0.14578491204946,0.187595354619764,0.306206568106278,0.0578817146375415,1,0.619615732591074,0.264482789862232,0.018767142513425,-30
0.385414690584577,0.0715976890806047,1,0.740423957064727,0.519710559589726,1,0.4831967104895,0.415348932814664,0.303091458244725,0.0504363952761446,0.562118027528504,0.59173830135078,0.165742813691298,0.648256379646143,1,0.845577222593336,0.376949882510163,0.502570808120675,0.449837405433841,0.28889583084661,0.0446525379394216,0.446355120059917,0.362158618423788,1,0.86671331053385,0.358157229103074,0.357285569994012,0.383969359292806,0.482183024010546,0.680198334916988,0.24291823161146,0.452522642467201,0
0.508845853253106,0.747893835536122,1,0.263992813271749,0.708460948132112,0.541993603765964,0.572038783936028,0.149845693450498,1,1,0.517501154722451,0.451082817944825,0.773671326599318,0.206678701014543,0.455256842847945,1,0.376349340896959,0.387933344607852,0.381380557411269,0.328347126358926,0.0334127101638172,0.357247746133248,0.271155735723613,1,0.721346273908438,0.292055345210043,1,0.513696145112132,0.142765290394367,0.594143499394207,0.359269474068267,0.086338553816921,30
0.659657884907767,0.47943619176799,1,0.346673134021801,0.65424823376762,0.509740613830914,0.870916715675185,0.406566876297226,0.309254072170083,1,0.850653018683528,0.698676176661488,1,0.274006528088302,0.186326214546513,0.216228958482211,1,1,1,0.402726167504241,0.508752122351378,0.241871463789732,1,0.489875066021114,0.68858425127116,0.423090567414807,0.063740129099404,0.634310654081341,0.0117752550596646,0.191381194888365,1,0.23515205889983,0
0.737296895756077,0.590163355432889,1,0.402431951965723,0.66810346904729,0.516742547209782,0.657985305292546,0.32509865625985,0.00737110889356134,1,0.576693085514056,0.252794730869704,0.184073811454699,0.495924259254446,0.27658763727349,0.368089750643587,0.106410253512823,1,1,0.353753258766892,0.469373533185466,0.418004724048788,1,0.64021476981088,0.754971982820772,0.382387145818507,0.347247521503902,0.616834294777743,0.0227295489425785,0.186781362656683,0.107771008752172,0.237127839533375,0
1,0.968374910932745,0.995713689181953,0.940369494864174,0.830183335620048,0.425918218479634,0.307182337424705,0.580509292900155,0.34860985514608,0.2571180750604,0.686174863139367,0.583422248448623,0.71374675218007,0.0294304405979728,1,0.0405377282745435,0.866051923073373,0,0.477421709848638,0.892000586236619,1,0.0762738235386437,0.314899889361245,0.826148622353393,0.500166335831276,0.129413349450478,0.0124256778246503,0.356671974206239,1,0.426376865047761,0.349540340132455,0.729816314940028,30
1,1,0.802094400023923,1,0.419831010786138,0.434987471390793,0.566414115880782,0.33079309741455,0.240091191168941,0.119773057249855,0.295889775756431,0.35859731849566,0.455278685587572,0.364096602202524,0.521633798692343,0.238895275512021,0.666415199079157,0.6263604266309,0.256354149104738,1,0.446863673858761,0.17204257941221,0.43938215835367,0.750496515943678,0.775310759319003,0.287997090047362,0.197419576603909,0.279797072273515,0.0410557367029332,0.307101462524253,0.680938806384108,0.935494861527124,-15
1,1,0.801549553620291,1,0.38573374833454,0.557366271077898,0.519582314269266,0.35656321774363,0.293217111494757,0.137665749917527,0.269486804469449,0.390195629167122,0.444429723246719,0.347044471618134,0.454472420402257,0.337396597859206,0.569321104664368,0.436927391035101,0.284317857224633,0.936012012315333,0.204544097602114,0.15506044708578,0.0546576129827282,0.681763528634062,0.774197075178699,0.209051186882486,0.183785233869081,0.413463284990876,0.138368441047298,0.284420567079365,0.428940568583631,0.754940028401385,-15
