V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
1,0.00628882865035038,0.12842147552046,1,0.880090620688613,1,1,0.910715223791404,1,0,0.851867057394888,0,0.0226973664728255,1,0.755648146316528,0.184738084094416,1,1,0,0.415729973138208,0.489570757784776,1,0.780513255540863,1,0.0478334968277007,1,0.675305280010292,0.574289626398626,1,1,0.0377562563197003,1,0
0.66438510405307,0,0,0.532782556165742,1,1,1,0.851136432490277,0.0269005792860332,0.0889735922319918,0.959174171810653,0.787265105327765,0.254661970745843,0.989608443856253,1,1,0.160241789799765,1,0.0269848036825214,1,0,1,0.778970190241411,0.920065924104139,0.839910581264046,1,1,1,0.0229391850040165,0.92442043123658,0.794439858930015,0.272276435247194,30
1,0,1,0.0790603457340417,1,1,1,1,1,0.0324506626030233,0.0205471027886529,0.0371637732266888,1,0.0513322140833918,0.138166744096939,0.198908835993419,1,0.0350999865577305,1,0.0215548224306748,0.0235210315815319,0.721558957242946,0.921914753668897,0.494100664315642,0.0867011119127965,0.860874554628516,1,0.913118927123087,0.945675104516755,0.717290380670816,1,0.0257763689013644,0
1,0,1,0.213822482092676,1,1,1,1,1,0.191126852392745,1,0.113824711416742,1,0.306303437973155,0.342262624334924,0.32218441021451,1,0.902008497045998,0.0106415153873915,0.304491921609219,1,0.732428134211907,0.871505554365458,0.39412781774694,0.36275077037506,0.842929152625861,1,0.744949137390967,0.921761481446677,0.588940944616486,1,0.183042794959105,0
0.691513052909778,0,0,1,0.814106865524893,0.0222780088718682,1,1,1,0.0115886279677419,1,1,1,0.0303400030822904,0.112951169342648,0,0.58672242024738,0.0229133736676496,1,0,0.0016045875038576,0,0.787217223364886,0.948851702154191,0,0.0133473023048511,0.712882299984728,0.0442259664483802,0.87479110049643,1,0.383700885934734,0.158023335150881,30
0.570708621981974,1,0,0.00166637029765908,0.0378143383853563,0.395191400343116,0.343423208092916,0.545702483822976,0.137494682903821,0.223807691914067,0.094595394293962,0.0776067615991552,1,0.0971682547485322,0.804346486574277,0.793830055951269,0.81830781277277,0.553208595274397,0.348495525592942,0.37472711303216,0.0379614339596096,0.170329605061769,0.0103371949780396,0.519846731636547,0.0721345965942226,0.35120777191629,1,0.735795765160161,1,0.2434906457776,0.920863688105564,0.470035928689305,-15
0.487165910624926,1,0,0.0059432361756059,0.260390120573066,0.532338838131398,0.538805315517117,0.417944956317439,0.981200073664945,0.221348856569143,0.24870274173766,0.0675255871152931,1,0.253896697884864,0.846921808292972,1,0.313596318916316,0.635087658944908,0.225430362705441,1,0.55842207711842,0.336772008372143,0.010002682605014,0.122665521370095,0.317129648150464,0.401163526217053,0.0986424544654162,0.632059171506951,1,0.270647566178332,0.938041179833376,0.0106010144226328,-15
0.564762112249269,0,1,0.853450218880795,1,0.0258825543408222,0.675123077701158,0.602826690594955,0.232652175350396,0.0474097330962874,0.681229286003398,0.295092452208978,0.815508951058818,1,0.65716547084641,0.992817152369308,1,0.920370787973487,0.761022113280466,1,1,0.162889893618317,0.0544638917533851,0.17067600988812,1,0.0320613376983429,1,0.72507945479043,0.194727953735218,1,0.69614577579656,0.85935495057541,30
0.565435785017209,0,0,0.867730698977439,1,1,0.733247761930845,0.306093011753464,0.460387013249364,0.0998577330551623,1,0.294303678865554,0.709311690048624,1,0.572113208737234,1,0.97978423780516,0.862012631152485,0.0231720157663417,1,1,0.00380087032789514,0.198947821176561,0.420748276682574,1,0.352247015729736,0.225051124228509,0.680405382315359,0.553213008800838,1,0.667545550699071,1,30
1,0,0,0,1,0.237925656050277,0.579385065596526,0.00215207499639274,0,0.724648665216065,0.0186620221397682,0.673180291847272,1,0,0.0262392292027652,0,1,0.589462272113706,0,0.400986330209066,1,0,0.0576499185789045,0.0012464609018911,0,0,0.017672795465591,0.0154915650787841,0,0.00607857787054706,1,0.507611926638594,15
