group,signal,phase,lambda,lambda_025,lambda_500,lambda_975,N0,N0_025,N0_500,N0_975
variation,reaches,15,0.491970940200302,0.260663495810671,0.49134912012762,0.733964145521829,7.58374952876046,6.07264287836759,7.70850068876752,9.34589032803887
variation,reaches,16,0.453421436299134,0.356472837913335,0.453096433977636,0.602710606658157,18.7745236036446,17.0481995246248,18.7982679894818,20.7051816922744
variation,reaches,17,0.245720949093325,0.0382026301594508,0.253383701357477,0.525736613481834,8.97157089802013,5.93673370873326,9.57013819195993,24.6122435792894
variation,reaches,18,0.271096194241683,0.133203173947265,0.269602050975151,0.42889937434556,9.89411079196963,8.10418619947559,10.0875554253684,13.7047027807216
variation,reaches,19,0.458797643307823,0.389613912479022,0.460484294267665,0.571745502402423,34.6946370856105,32.0330511379645,34.6710415507267,37.7186378290242
variation,reaches,20,0.489966166798396,0.305135216228139,0.492033725999788,0.72747263418678,15.2873010008977,13.0095407528149,15.3750517596283,17.5932387689923
variation,reaches,21,0.582605758894228,0.447227790836191,0.587318200684872,0.725198557474048,13.4277532425086,11.164867819012,13.4810170026369,15.9593228554387
variation,reaches,22,0.73063081765615,0.413600386653169,0.734419576138724,1,10.6656250186747,8.87330839177477,10.7157991765447,12.5477232871724
variation,reaches,23,0.436312141906851,0.357869999043177,0.43607501429481,0.560601532831371,34.0062086180644,31.0438654608463,34.0104677471912,37.2312215675956
variation,reaches,24,0.538443401137896,0.424223254928486,0.536581748384526,0.684773732172164,22.1741483199872,19.5027003916234,22.1663730870466,24.9158140549201
