lambda,N0
0.379967972152964,3.68088620379461
1,2.89939259549901
1,3.59270633452303
1,3.00338579826252
1,2.41410198081177
1,3.90919788553467
1,1.93702448703698
1,3.22723596742667
1,2.39394638133825
1,3.597771829034
1,2.85399622594386
1,0.875306919552011
1,2.33744993903983
1,4.26730762158136
1,3.91446439752308
1,2.70700000228191
1,3.94755470408671
1,3.91130555679545
1,4.22818249382884
1,2.10651382999596
1,2.50047903013916
1,2.403369590043
1,2.06565807302119
0.252391400281376,1.18007973421598
1,1.7915933105956
1,3.00239614352062
1,3.91988425097487
1,3.69295435518479
0.276968607291996,2.79763883344734
0.200791222289644,3.29796171996836
1,2.15140614459867
0.66131497230827,3.67196949044762
1,2.34950838640482
0.263205476035195,3.29713288150831
1,3.22447379802866
0.727279456970217,2.15381335009358
1,2.57931395347231
1,2.46244470768971
0.0776105179139427,3.2604589385359
1,3.46718863272293
0.558562931269899,1.6256819061905
1,1.28762284031362
1,6.25616693555638
1,3.84629861868338
0.351352050492825,1.51267455130307
1,2.62196132779021
1,2.99179125515203
1,4.07623636397352
1,5.21149518787784
1,3.02281266529095
1,4.12146719890617
1,3.818463711036
1,3.50675164036423
0.123930077238283,3.90548897577086
0.387585938276324,2.73384871819878
1,4.58093588971274
1,3.11231828084575
1,3.39530886844297
1,0.478907695113366
0.372947994993323,2.24091824510223
0.0985788856789437,2.71981167289793
1,3.65794991963977
1,3.57660008952948
1,3.41296917342876
1,1.91278334788258
0,0.321872927587375
0.156609094397893,3.18371107320326
0.0215154407189374,8.96197624660665
1,2.94011414561087
0.370647531359624,2.62089313486048
1,2.85362713682246
1,1.95271207632819
1,3.13343147047644
1,4.3693162739912
1,3.8463105908267
1,4.09848009271528
0.798100101605304,3.68674096212389
1,3.39859102035811
1,2.80628262787775
1,4.5015671543065
1,7.35473804206746
1,3.59557221745001
0.285867630064455,0.51443739721208
0.0796311755195185,4.61458607088519
1,4.86544471543502
1,4.18110199320858
1,3.23400926653652
1,3.00594577936654
1,5.5618228473108
1,3.90918550254677
1,4.25506191292654
1,0.194777055219113
1,2.27315548854452
0.293566822217445,3.9636546776254
1,3.40603633566876
0.57686725095687,4.34248294931783
1,3.26447242604269
1,4.97460717679421
1,3.84426688198636
0.222966374792997,3.22903932788911
1,4.45187333428562
1,2.11263182011206
0.116171144371714,5.9581042933686
1,4.45976527652513
1,3.11184246264093
0.166197014002586,3.5457882695922
1,3.5540620914019
1,3.44545485503199
1,3.73303707651276
1,4.85568480169609
0.318656421981442,2.24011631824376
1,2.63974836852111
1,4.22763682688321
1,4.38076646429876
1,3.22968453672249
1,5.49614453522799
0.295193161402521,4.39414698121939
1,4.00590467473951
1,4.05756583709262
1,4.9220152686365
1,2.84376908159311
1,3.82192074492249
0.565927589242163,2.51439454836029
1,4.62839491103472
0.307257782990956,2.92630672245239
1,3.48378494270219
1,4.71014573803347
1,2.03512849518783
1,1.39333063835223
1,5.43578892935645
1,4.01235902110479
1,1.78364105108295
1,3.29837750237186
0.233023337751071,5.22298902936019
1,3.80500001454092
1,4.12591465738247
1,4.24456936221855
0.46101750436528,2.65199018855597
1,2.79148830137071
1,2.555318679163
0.577122582184543,5.25364383974214
1,3.05756243440727
1,2.69349964768239
1,4.76109046756677
1,3.02377642908975
0.0443605398618019,11.5810141305197
1,5.96038704749806
1,1.93356101471097
1,3.2766488321186
1,4.36132064241508
0.427504968548571,2.55175604911852
0.30604233512725,1.60421198371977
1,4.19531206519675
1,3.76843606012906
1,2.6340887083112
1,4.5381073672874
1,4.30492103431689
1,2.67290791611485
0.404328322971559,3.91732612031289
1,2.72223078500379
0.103141663953743,7.55092550310531
1,1.96377761813759
1,3.01476804111449
1,3.43042067210307
1,2.6205601663401
1,2.67810264556266
0.436757323447628,3.90518749743011
0.641733664038987,1.51864690636721
1,4.99629568352273
1,1.49974216042096
1,2.89138104750045
1,2.62887571917809
1,3.42913385422327
1,4.15090149953946
0.0897800036709756,6.92909340016011
1,3.61404676647716
1,4.54586168082031
1,3.54600017013104
0.150012836851179,1.95864208999318
1,1.97467133990462
0.465221603914759,4.2198644004529
1,2.27447432992528
1,3.19245488894202
1,3.86453509907734
1,1.62270632317765
1,2.66935239570035
1,3.13898466616055
1,3.74163163180761
1,3.9077275180806
1,1.76786153743199
1,4.11326743578595
1,3.30937251982394
1,3.40236274676219
1,4.35057025705291
1,2.87018752055031
1,4.91942322770959
1,3.92727834641151
1,2.03094804138337
1,1.77671346972783
1,3.19062005943453
1,2.84007724705756
1,4.43822871525069
1,4.03850903416282
1,4.81185099235739
1,4.57006299746361
1,3.21451976393753
1,4.28988435247033
1,3.53663849677398
