group,signal,phase,lambda,lambda_025,lambda_500,lambda_975,N0,N0_025,N0_500,N0_975
variation,localization,16,1,0.431558039536446,0.710859838999711,0.866284256567694,7.99546926923821,6.29869397233586,8.15564097461936,10.1530140992253
variation,localization,17,0.0386292724285288,0,0.033268963554457,1,10.4165551059784,0.154170675292374,9.05303316717687,20.6306964733202
variation,localization,18,0.0163928717471986,0,0.0128959801954271,0.488074504546574,18.9409611484051,0.0125657695374699,19.4878053158533,63.679040267908
variation,localization,19,1,0.350876328633249,0.893272064174268,1,14.0917699469221,11.3962847443668,14.0033897393151,16.929740856056
variation,localization,20,0.881084134702188,0.420611096029824,0.652719249841228,0.949173079745118,7.59991669251138,5.86015527880617,7.49513161958219,10.1250601741515
variation,localization,21,0.516193092229093,0.130923882482243,0.67567527164728,1,5.52794766458094,3.5321652704986,5.34986909628284,7.59323939674912
variation,localization,22,0.650502175240068,0,1,1,1.97248466776685,0.583182190451127,2.85994348228145,23.996965701081
variation,localization,23,0.722482391121384,0.435707121239483,0.59461480564992,0.98862708783502,11.7882253876818,8.60644549291332,11.4189083218776,14.4404575796743
variation,localization,24,0.967752859672652,0.342465435419692,0.560642922469534,0.761660512134823,8.07787622485964,6.30774879218268,8.39052539825187,10.2555116145487
variation,reaches,1,0.252360384705862,0.17520398347307,0.25399868647198,0.376333178465083,22.9859800245794,21.0092551370011,22.7171461849205,27.9971394493199
variation,reaches,2,0.366533642985885,0.165528703503389,0.352813938161695,0.861416113484551,9.00330442128277,7.45790014054756,9.19590021417947,11.3186189018891
variation,reaches,3,0.386439213346411,0.271474522442446,0.399662076079692,0.486190580079837,9.66735491142827,8.29903284662264,9.81139892505333,11.3541221564672
variation,reaches,4,0.314032015202161,0.177352242740124,0.330049252861075,0.572787135574287,10.5986106096914,8.79968470989586,10.5483913767332,12.3103017951713
variation,reaches,5,0.371317110649632,0.286659178873047,0.369713061289909,0.521387325352883,22.1200154913296,20.6483749722134,22.0937317765354,23.7408824114138
variation,reaches,6,0.381436086738669,0.294063115256295,0.376290364752331,0.537264197668031,9.72984594726461,8.54827385907679,9.73915274432148,11.0820870066127
variation,reaches,7,0.354211750895427,0.271530276421546,0.359250392567391,0.436971946081692,13.1887517147835,12.0453018550595,13.0608984891262,14.1656173721736
variation,reaches,8,0.327666755989676,0.272725888047901,0.334784003964734,0.395545024311209,31.2311174665321,29.7699341170853,31.203732210241,33.0820796588534
variation,reaches,9,0.290310096693583,0.116359417449264,0.282792992510064,0.51124109774481,13.9968811085944,12.6436178130964,14.4393162968135,19.2078695310035
variation,reaches,10,0.507816644496574,0.400546301019224,0.506813053575003,0.647640076357897,18.9400619099102,17.4664192293706,18.9003546027012,21.0676434073009
variation,reaches,11,0.495775416168563,0.399072495471523,0.500531581266939,0.675713068017776,19.7728604752344,18.2784584779446,19.7713061901509,21.2503970555991
variation,reaches,12,0.568789521886443,0.410883990544209,0.534051392441826,0.766149220918827,20.1889350445595,16.878129636588,19.7884182255637,23.2739867153251
variation,reaches,13,0.386750767190185,0.323266730713808,0.388476217734206,0.46461795927815,27.8478799927256,25.1009347787216,27.7972274728747,30.6376028799244
variation,reaches,14,0.391630325582518,0.291851186251193,0.386543743198006,0.50202236375553,29.6387957157414,27.8040696839938,29.8234676698419,31.3978465500747
variation,reaches,15,0.466195442601868,0.242835840929711,0.474256851123177,0.766249379757614,8.15836256571991,6.09618653879344,8.24659159887005,10.5716289766327
variation,reaches,16,0.42313583951152,0.31722604549049,0.430509015767389,0.593236383810348,18.6188331528898,16.5476051547912,18.7072449538277,20.6274456129126
variation,reaches,17,0.31256095529008,0.0802387894968549,0.298051686798446,0.513118440518608,8.64840504565021,5.48146449507558,9.14665965990699,15.7798881427809
variation,reaches,18,0.331691755252806,0.179669052790752,0.322265418251917,0.880893806429671,9.18650473652263,7.37416288177599,9.34905936980594,12.0531534993473
variation,reaches,19,0.469722325461767,0.397786513207827,0.467176370992643,0.561227704972616,34.6084012838604,32.0055657710737,34.5060978967291,38.0398767899873
variation,reaches,20,0.480617786732036,0.291663770364545,0.457048816528713,0.662418294894537,15.3238770175114,13.6855993499833,15.5844474537767,17.7500061615308
variation,reaches,21,0.592524813542028,0.456752184439999,0.609369935256836,0.767312679546968,13.8426717207464,11.6963477064745,13.8824413798825,16.2697295107268
variation,reaches,22,0.721570316903374,0.399484835581862,0.693323031170684,1,11.0105246465784,9.40352174995258,11.1378719895771,12.7323793511667
variation,reaches,23,0.443728428114478,0.340728803124193,0.440409393828843,0.580708193083087,32.7595750882743,28.2267117418433,32.9809128568594,37.3548963787295
variation,reaches,24,0.522746402463397,0.429024843710467,0.510679792873179,0.64926897255274,21.904509807967,19.2502766148325,21.9465292958422,24.8790190876615
